02:24:59.122  INFO  tests.TestBase             ############### Start  test loginNegativeTestWrongEmail
02:24:59.126  INFO  manager.MyListener  Start searching element by By.xpath: //a[.=' Logout ']
02:25:09.218  INFO  manager.MyListener  The element with locator by By.xpath: //a[.=' Logout '] is found successfully
02:25:09.222  INFO  manager.MyListener  Start searching element by By.xpath: //a[.=' Log in ']
02:25:09.250  INFO  manager.MyListener  The element with locator by By.xpath: //a[.=' Log in '] is found successfully
02:25:09.326  INFO  manager.MyListener  Start searching element by By.id: email
02:25:09.353  INFO  manager.MyListener  The element with locator by By.id: email is found successfully
02:25:09.501  INFO  manager.MyListener  Start searching element by By.id: password
02:25:09.525  INFO  manager.MyListener  The element with locator by By.id: password is found successfully
02:25:09.636  INFO  manager.MyListener  Start searching element by By.xpath: //div[.="It'snot look like email"]
02:25:09.649  INFO  manager.MyListener  The element with locator by By.xpath: //div[.="It'snot look like email"] is found successfully
02:25:09.697  INFO  manager.MyListener  Start searching element by By.xpath: //div[.="It'snot look like email"]
02:25:09.708  INFO  manager.MyListener  The element with locator by By.xpath: //div[.="It'snot look like email"] is found successfully
02:25:09.724  INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Ok']
02:25:19.755  INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Ok'] is found successfully
02:25:19.756  INFO  tests.TestBase       ###### Finished  #########
02:25:19.759  INFO  tests.TestBase             ############### Start  test loginPositiveTest
02:25:19.760  INFO  manager.MyListener  Start searching element by By.xpath: //a[.=' Logout ']
02:25:29.828  INFO  manager.MyListener  The element with locator by By.xpath: //a[.=' Logout '] is found successfully
02:25:29.828  INFO  manager.MyListener  Start searching element by By.xpath: //a[.=' Log in ']
02:25:29.846  INFO  manager.MyListener  The element with locator by By.xpath: //a[.=' Log in '] is found successfully
02:25:29.897  INFO  manager.MyListener  Start searching element by By.id: email
02:25:29.911  INFO  manager.MyListener  The element with locator by By.id: email is found successfully
02:25:30.073  INFO  manager.MyListener  Start searching element by By.id: password
